feature,importance
CE(20:5),0.1533138096664801
TG(51:4),0.11371150460362664
PC(O-16:0/16:0),0.10715205085430841
fit_ug_g,0.10425141405147709
GlcCer(d18:1/24:0),0.09098775297190778
PC(O-16:0/18:2),0.07511516290834586
SM(33:1),0.0621515872162548
PC(36:5),0.06013088911819855
SM(42:3),0.05202117238977477
SM(d18:1/24:1) + SM(d18:2/24:0),0.040529531494530556
age,0.03486167575447737
SM(d18:1/23:0),0.032657857314620425
PC(O-34:1),0.02858786996011304
SM(d18:1/22:0),0.02761887592496075
fob_YES,0.013120193886688386
gender_Male,0.0037886518842355
