class,feature,mean_abs_tree_shap
AA,CE(20:5),0.08888053321740752
AA,GlcCer(d18:1/24:0),0.05088221443445126
AA,PC(36:5),0.034428865525140205
AA,PC(O-16:0/16:0),0.08361650168201255
AA,PC(O-16:0/18:2),0.040020046547554367
AA,PC(O-34:1),0.020732311608533997
AA,SM(33:1),0.0387028842056134
AA,SM(42:3),0.03513373337887718
AA,SM(d18:1/22:0),0.019318148862863604
AA,SM(d18:1/23:0),0.021749651096497243
AA,SM(d18:1/24:1) + SM(d18:2/24:0),0.027060641522555735
AA,TG(51:4),0.06106728890683973
AA,fit_ug_g,0.04909900847100651
AA,age,0.021984806888013277
AA,gender_Male,0.0030730248153416724
AA,fob_YES,0.008600076025065968
CRC,CE(20:5),0.08064807087422705
CRC,GlcCer(d18:1/24:0),0.039062787006137016
CRC,PC(36:5),0.030150098386040786
CRC,PC(O-16:0/16:0),0.07095779673310598
CRC,PC(O-16:0/18:2),0.05160815346377425
CRC,PC(O-34:1),0.016534742019975675
CRC,SM(33:1),0.0431193402743987
CRC,SM(42:3),0.03724902198604885
CRC,SM(d18:1/22:0),0.015299903831720632
CRC,SM(d18:1/23:0),0.0182491024439536
CRC,SM(d18:1/24:1) + SM(d18:2/24:0),0.02776954973992057
CRC,TG(51:4),0.07855314754121881
CRC,fit_ug_g,0.08622438225840848
CRC,age,0.016772297483776295
CRC,gender_Male,0.0022424057435446176
CRC,fob_YES,0.00878273939731284
CTRL,CE(20:5),0.11962939047859514
CTRL,GlcCer(d18:1/24:0),0.05149163468433967
CTRL,PC(36:5),0.03352875889091631
CTRL,PC(O-16:0/16:0),0.05068197985784252
CTRL,PC(O-16:0/18:2),0.0393827445838923
CTRL,PC(O-34:1),0.01743840296085992
CTRL,SM(33:1),0.02669426448641862
CTRL,SM(42:3),0.022038899053443542
CTRL,SM(d18:1/22:0),0.010939990122593975
CTRL,SM(d18:1/23:0),0.016088319002086068
CTRL,SM(d18:1/24:1) + SM(d18:2/24:0),0.017710833606602135
CTRL,TG(51:4),0.08900956636940517
CTRL,fit_ug_g,0.08415393811601712
CTRL,age,0.01913756361018736
CTRL,gender_Male,0.003149364502440726
CTRL,fob_YES,0.01424273392303544
