feature,mean_abs_tree_shap
CE(20:5),0.09638599819007658
TG(51:4),0.07621000093915457
fit_ug_g,0.07315910961514403
PC(O-16:0/16:0),0.06841875942432035
GlcCer(d18:1/24:0),0.047145545374975985
PC(O-16:0/18:2),0.04367031486507364
SM(33:1),0.03617216298881024
PC(36:5),0.03270257426736577
SM(42:3),0.03147388480612319
SM(d18:1/24:1) + SM(d18:2/24:0),0.02418034162302615
age,0.019298222660658976
SM(d18:1/23:0),0.0186956908475123
PC(O-34:1),0.018235152196456533
SM(d18:1/22:0),0.015186014272392736
fob_YES,0.01054184978180475
gender_Male,0.002821598353775672
