feature,tree_shap_value_predicted_class,sample_value,abs_value
CE(20:5),0.16252857640548413,-0.5682288155244052,0.16252857640548413
fit_ug_g,0.1129118762356399,-1.0255732087458502,0.1129118762356399
TG(51:4),0.11123889535558956,0.4881945428448191,0.11123889535558956
PC(O-16:0/16:0),0.06533533990043014,-0.1022131249405875,0.06533533990043014
GlcCer(d18:1/24:0),0.04174425753561367,0.2534022380453916,0.04174425753561367
SM(42:3),0.02309736180491516,-0.2999995829844901,0.02309736180491516
fob_YES,0.020915206438440147,0.0,0.020915206438440147
SM(33:1),0.020909876035843288,-0.3649292310502389,0.020909876035843288
age,0.02071032774772946,-1.367222325840062,0.02071032774772946
SM(d18:1/23:0),0.01660574939498874,-0.2659465567679533,0.01660574939498874
PC(O-34:1),0.011736339015565794,-0.1879526537053663,0.011736339015565794
SM(d18:1/24:1) + SM(d18:2/24:0),0.010025921034285755,-1.8346670152868576,0.010025921034285755
PC(36:5),0.00905201249630463,-0.6371582622097031,0.00905201249630463
PC(O-16:0/18:2),-0.008230355187430238,0.1299176198996712,0.008230355187430238
SM(d18:1/22:0),0.006843060016024326,-0.1107926115345519,0.006843060016024326
gender_Male,4.431126975821639e-05,0.0,4.431126975821639e-05
